# File: OutputsByTech.csv,,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,,
# Updated August 17th with IAMCOMPACT reference scenario,,,,,,,,,,
# Units: EJ,,,,,,,,,,
# Column types: cccccnnnnnc,,,,,,,,,,
# ----------,,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,2021,Units
Australia_NZ,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (seawater),0,0,0,0,0,EJ
China,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (dry cooling),0,0,0,0,0,EJ
China,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (once through),0,0,0,0,0,EJ
China,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (recirculating),0,0,0,0,0,EJ
China,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (seawater),0,0,0,0,0,EJ
Russia,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (once through),0,0,0,0,0,EJ
Russia,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (recirculating),0,0,0,0,0,EJ
Russia,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (seawater),0,0,0,0,0,EJ
Australia_NZ,elec_coal (conv pul),coal (conv pul),elec_coal (conv pul),coal (conv pul) (dry cooling),0.0301834,0.0462377,0.0449481,0.0395574,0.0353579,EJ
Australia_NZ,elec_coal (conv pul),coal (conv pul),elec_coal (conv pul),coal (conv pul) (once through),0.0549285,0.0841444,0.0817978,0.0719876,0.0643452,EJ
