# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
TPES_CHINA,elec_Gen_III,Gen_III,Gen_III (recirculating)
TPES_CHINA,elec_Gen_III,Gen_III,Gen_III (seawater)
TPES_CHINA,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (cooling pond)
TPES_CHINA,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (once through)
TPES_CHINA,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (recirculating)
TPES_CHINA,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (seawater)
TPES_CHINA,elec_geothermal,geothermal,geothermal (dry_hybrid)
TPES_CHINA,elec_geothermal,geothermal,geothermal (recirculating)
TPES_CHINA,elect_td_bld,rooftop_pv,rooftop_pv
TPES_CHINA,electricity,hydro,hydro
TPES_CHINA,electricity,solar,PV
TPES_CHINA,electricity,solar,PV_storage
TPES_CHINA,electricity,wind,wind
TPES_CHINA,electricity,wind,wind_offshore
TPES_CHINA,electricity,wind,wind_storage
TPES_CHINA,chemical feedstocks,gas,gas
TPES_CHINA,chemical feedstocks,refined liquids,refined liquids
TPES_CHINA,construction feedstocks,refined liquids,refined liquids
TPES_CHINA,other industrial feedstocks,coal,coal
TPES_CHINA,other industrial feedstocks,refined liquids,refined liquids
TPES_CHINA,refined liquids bunkers,refined liquids bunkers,refined liquids bunkers
TPES_GAS,regional biomass,regional biomass,regional biomass
TPES_GAS,regional biomassOil,regional biomassOil,Soybean
TPES_GAS,regional biomassOil,regional biomassOil,OilCrop
TPES_GAS,regional biomassOil,regional biomassOil,OilPalm
TPES_GAS,regional coal,domestic coal,domestic coal
TPES_GAS,regional coal,imported coal,imported coal
TPES_GAS,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol
TPES_GAS,regional natural gas,domestic natural gas,domestic natural gas
TPES_GAS,regional natural gas,imported natural gas,imported natural gas
TPES_GAS,regional oil,domestic crude oil,domestic crude oil
TPES_GAS,regional oil,imported crude oil,imported crude oil
TPES_GAS,elec_CSP,CSP,CSP (dry_hybrid)
TPES_GAS,elec_CSP,CSP,CSP (recirculating)
TPES_GAS,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
TPES_GAS,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
TPES_GAS,elec_Gen_III,Gen_III,Gen_III (cooling pond)
